Date,XLE_Open,XLE_High,XLE_Low,XLE_Close,XLE_Adj Close,XLE_Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,volume_vpt_sma,trend_nvi_ema_255,trend_ema_20,trend_ema_50,trend_sma_50,trend_sma_200,volume_adi_7d_ago,XLE_Close_7d_ago
2020-12-31,38.04999923706055,38.209999084472656,37.72999954223633,37.900001525878906,34.368587493896484,18154900.0,-5295016.849057054,18154900.0,,,,,-7460035.927591747,,,1000.0,,,,,,0.0,0.0,,38.426666259765625,37.46666717529297,,0.45139037900642937,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,37.96999931335449,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-41.16998890472845,,0.0,,,,,,,,
2021-01-01,38.04999923706055,38.209999084472656,37.72999954223633,37.900001525878906,34.368587493896484,18154900.0,-10590033.698114108,36309800.0,,,0.0,,-7474370.315664546,,,1000.0,,,,,,0.0,0.0,,38.426666259765625,37.46666717529297,,0.45139037900642937,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,37.96999931335449,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-02,38.04999923706055,38.209999084472656,37.72999954223633,37.900001525878906,34.368587493896484,18154900.0,-15885050.547171162,54464700.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,38.426666259765625,37.46666717529297,,0.45139037900642937,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,37.96999931335449,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,,38.209999084472656,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-03,38.04999923706055,38.209999084472656,37.72999954223633,37.900001525878906,34.368587493896484,18154900.0,-21180067.396228217,72619600.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,38.426666259765625,37.46666717529297,,0.45139037900642937,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,37.96999931335449,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,37.72999954223633,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-04,38.34000015258789,38.65999984741211,37.5099983215332,37.959999084472656,34.422996520996094,33858800.0,-28540666.325460702,106478400.0,,,0.3905924375985376,,53600.138657697666,,,1000.0,,,,,,0.0,0.0,,38.57999979654948,37.351999918619796,,0.49511337645888154,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,38.084999084472656,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,,38.209999084472656,0.0,1.0,,,,,,,,,,,,,,,,,,,0.15830489756782917,0.15817972744773812,0.15830489756782917,,,,,,,,
2021-01-05,38.369998931884766,40.70000076293945,38.34000015258789,39.65999984741211,35.96459197998047,47736700.0,-22877016.210696533,154215100.0,,,7.094340657863085,,2191440.7176214303,,,1000.0,,,,,,0.0,0.0,,39.137777752346466,37.32777765062121,,1.288520478296035,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,39.10499954223633,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,37.5099983215332,,1.0,0.0,,,,,,,,,,,,,,,,,,,4.4784004318767945,4.381016962073536,4.643794856660999,,,,,,,,
2021-01-06,40.439998626708984,41.25,39.91999816894531,40.869998931884766,37.06184768676758,43131400.0,-4392165.841847364,197346500.0,,,3.2840346559436444,,3453749.674092722,,,1030.5093063320223,,,,,,0.0,0.0,,39.5480953398205,37.61666615804036,,1.6844173239869498,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,39.3799991607666,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,37.5099983215332,,0.0,0.0,,,,,,,,,,,,,,,,,,,3.0509306332022312,3.0053152197479616,7.836404449688161,,,,,,,,
2021-01-07,41.22999954223633,41.88999938964844,40.79999923706055,41.470001220703125,37.60594177246094,25728600.0,1508978.4208837496,223075100.0,,,3.2197646410921426,,1693624.2723136083,,,1045.637957142078,,,,,,0.0,0.0,,39.91416676839193,37.95166619618734,,1.7927816553772706,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,39.69999885559082,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,37.659598388671874,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.4680751272304615,1.4574032252372415,9.419523881513703,,,,,,,-5295016.849057054,34.368587493896484
2021-01-08,42.0,42.0,41.09000015258789,41.41999816894531,37.56059265136719,31372000.0,-7109835.853631972,191703100.0,,,0.5801372681282921,,339887.9359603541,,,1045.637957142078,,,,,,0.0,0.0,,40.19185186315465,38.24518472177011,,1.6308969210407251,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,39.7549991607666,,,39.7549991607666,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,37.913422448730465,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.1205764414900723,-0.12064919336824964,9.287589713321998,,,,,,,-10590033.698114108,34.368587493896484
2021-01-09,42.0,42.0,41.09000015258789,41.41999816894531,37.56059265136719,31372000.0,-15728650.128147695,223075100.0,,,0.0,,-37827.24122426482,,,1045.637957142078,,,,,,0.0,0.0,39.44699974060059,40.41399993896484,38.47999954223633,4.902781984552188,1.5201644382711508,1.0,0.0,,,,,,1.0310001373291016,,,,,,,,,,,,,,,,,,39.7549991607666,,,39.7549991607666,,0.0,0.0,0.0,,64.47908521476367,62.469835830061406,,,,38.240348652832026,,0.0,0.0,,,,,,,,,,,,,,,,,,41.41999816894531,0.0,0.0,9.287589713321998,,,,,,,-15885050.547171162,34.368587493896484
